"DD Field","Source Field","Field Description","Selected","Resource"
"ShowingAttendedYN","","Does this home require an attended showing?  i.e. Yes = licensed agent representing the seller must be present during showing.","No","Property"
"ShowingContactName","","The name of the contact for the showing of the listed property.","No","Property"
"ShowingContactPhone","","A telephone number that should be called to arrange showing the property.","No","Property"
"ShowingContactPhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"ShowingContactType","","The type of contact for the showing.  i.e. Agent, Broker, Seller.","No","Property"
"ShowingDays","","The days of the week that the property is available for showing.  i.e. Sundays, Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays","No","Property"
"ShowingEndTime","","From the days selected in the ShowingDays field, the end time that the property is available for showing.","No","Property"
"ShowingInstructions","","Remarks that detail the seller's instructions for showing the subject property. Showing instructions may include: contact information, showing times, notice required or other information. These remarks are privileged and are not for public viewing.","No","Property"
"ShowingRequirements","","A pick list of types of notice required to see the home.  i.e. Appointment Required, Courtesy Call Only, Go Direct, etc.","No","Property"
"ShowingStartTime","","From the days selected in the ShowingDays field, the start time that the property is available for showing.","No","Property"
"SignOnPropertyYN","SignYN","Is there a sign on the property.","Yes","Property"
"Skirt","","A list of types of mobile home skirting.","No","Property"
"SourceSystemID","","The RESO OUID's OrganizationUniqueId of the Source record provider. The source system is the system from which the record was directly received. In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.","No","Property"
"SourceSystemKey","Matrix_Unique_ID","The system key, a unique record identifier, from the Source System. The Source System is the system from which the record was directly received. In cases where the Source System was not where the record originated (the authoritative system), see the Originating System fields.","Yes","Property"
"SourceSystemName","","The name of the immediate record provider. The system from which the record was directly received. The legal name of the company.","No","Property"
"SpaFeatures","FeaturesInterior","A list of features or description of the spa included in the sale/lease.","Yes","Property"
"SpaYN","FeaturesInterior, PropertyType","The property has a spa.","Yes","Property"
"SpecialLicenses","","Special licenses required/used by the business being sold.  i.e. Beer/Wine, Class H, Professional, Gambling, None.","No","Property"
"SpecialListingConditions","","A list of options that describe the type of sale.  i.e. Standard, REO, Short Sale, Probate, Auction, NOD, etc., at the time of listing.","No","Property"
"StandardStatus","Status","The status of the listing as it reflects the state of the contract between the listing agent and seller or an agreement with a buyer (Active, Active Under Contract, Canceled, Closed, Expired, Pending, Withdrawn). This is a Single Select field.","Yes","Property"
"StateOrProvince","StateOrProvince","Text field containing the accepted postal abbreviation for the state or province.","Yes","Property"
"StateRegion","","A sub-section or area of a defined state or province.  Examples would be the Keys in FL or Hudson Valley in NY.","No","Property"
"StatusChangeTimestamp","StatusChangeTimestamp","The transactional timestamp automatically recorded by the MLS system representing the date/time the listing's status was last changed.","Yes","Property"
"Stories","NumberStories, Style","The number of floors in the property being sold.","Yes","Property"
"StoriesTotal","","The total number of floors in the building.  In the case of multi-dwelling structures, this is the entire structure and not the individual dwelling being sold.","No","Property"
"StreetAdditionalInfo","","Information other than a prefix or suffix for the street portion of a postal address.","No","Property"
"StreetDirPrefix","StreetDirPrefix","The direction indicator that precedes the listed property's street name.","Yes","Property"
"StreetDirSuffix","StreetDirSuffix","The direction indicator that follows a listed property's street address.","Yes","Property"
"StreetName","StreetName","The street name portion of a listed property's street address.","Yes","Property"
"StreetNumber","StreetNumber","The street number portion of a listed property's street address.  In some areas the street number may contain non-numeric characters.  This field can also contain extensions and modifiers to the street number, such as ""1/2"" or ""-B"".  This street number field should not include Prefixes, Direction or Suffixes.","Yes","Property"
"StreetNumberNumeric","StreetNumberNumeric","The integer portion of the street number.","Yes","Property"
"StreetSuffix","StreetSuffix","The suffix portion of a listed property's street address.","Yes","Property"
"StreetSuffixModifier","","The Street Suffix Modifier allows the member to enter a unique Street Suffix that was not found in the Street Suffix pick list or to extend or prefix the suffix.","No","Property"
"StructureType","FreestandingYN, Type","The type of structure.","Yes","Property"
"SubAgencyCompensation","","The total commission to be paid to the Sub Agency, expressed as either a percentage or a constant currency amount.","No","Property"
"SubAgencyCompensationType","","A list of types to clarify the value entered in the SubAgencyCompensation field.  For example $, % or some other clarification of the SubAgencyCompensation.","No","Property"
"SubdivisionName","Neighbourhood","A neighborhood, community, complex or builder tract.","Yes","Property"
"SuppliesExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"SyndicateTo","","When permitted by the broker, the options made by the agent on behalf of the seller, where they would like their listings syndicated.  i.e. Zillow, Trulia, Homes.com, etc.","No","Property"
"SyndicationRemarks","","Becoming more common in the industry, MLS's are hosting a separate ""Public Remarks"" for syndication purposes.  This field should be defaulted to containing the Public Remarks, but upon broker decision, modified to include contact and other information denied by IDX rules, but allowed under local and national regulations.","No","Property"
"TaxAnnualAmount","PropertyTaxes, Taxes","The annual property tax amount as of the last assessment made by the taxing authority.","Yes","Property"
"TaxAssessedValue","Assessment","The property value as of the last assessment made by the taxing authority.","Yes","Property"
"TaxBlock","","A type of legal description for land in developed areas where streets or other rights-of-ways delineate large parcels of land referred to as divided into lots on which homes or other types of developments are built.  An example would read ""Lot 12 of Block 45 of Tract 3002 of the City of San Dunes, Desert County."" Such a description would also reference an official plat filed with the clerk or recorder for that area which shows the location of the block and often the dimensions of the lots therein.","No","Property"
"TaxBookNumber","","Some systems of parcel identification incorporate a method which utilizes a county identifier, a tax book number, a tax map number and a parcel identification number.","No","Property"
"TaxExemptions","","A list of tax exemptions as they relate to the property.","No","Property"
"TaxLegalDescription","LegalDescription","A type of legal description for land in developed areas where streets or other rights-of-ways delineate large parcels of land referred to as divided into lots on which homes or other types of developments are built.  An example would read ""Lot 12 of Block 45 of Tract 3002 of the City of San Dunes, Desert County."" Such a description would also reference an official plat filed with the clerk or recorder for that area which shows the location of the block and often the dimensions of the lots therein. The text here is also an index into the property as described by the County Recorder.","Yes","Property"
"TaxLot","","A type of legal description for land in developed areas where streets or other rights-of-ways delineate large parcels of land referred to as divided into lots on which homes or other types of developments are built.  An example would read ""Lot 12 of Block 45 of Tract 3002 of the City of San Dunes, Desert County."" Such a description would also reference an official plat filed with the clerk or recorder for that area which shows the location of the block and often the dimensions of the lots therein.","No","Property"
"TaxMapNumber","","Some systems of parcel identification incorporate a method which utilizes a county identifier, a tax book number, a tax map number and a parcel identification number.","No","Property"
"TaxOtherAnnualAssessmentAmount","","Any other annual taxes, not including the tax reported in the TaxAmount field, as of the last assessment made by the taxing authority.","No","Property"
"TaxParcelLetter","","Some systems of parcel identification incorporate a method which utilizes a county identifier, a tax book number, a tax map number and a parcel identification number.","No","Property"
"TaxStatusCurrent","","The current tax status of the mobile home in cases where the land or space is included in the sale.","No","Property"
"TaxTract","","A type of legal description for land in developed areas where streets or other rights-of-ways delineate large parcels of land referred to as divided into lots on which homes or other types of developments are built.  An example would read ""Lot 12 of Block 45 of Tract 3002 of the City of San Dunes, Desert County."" Such a description would also reference an official plat filed with the clerk or recorder for that area which shows the location of the block and often the dimensions of the lots therein.","No","Property"
"TaxYear","TaxYear","The year in with the last assessment of the property value/tax was made.","Yes","Property"
"Telephone","","A list of telephone-service related features of the property (e.g. Installed, Public, Available). Note: the previous ""Telephone"" field was renamed to DistanceToPhoneServiceComments","No","Property"
"TenantPays","TenantPays","A list of services or items that the tenant is responsible to pay.","Yes","Property"
"Topography","","The state of the surface of the land included with the property.  i.e. flat, rolling, etc.","No","Property"
"TotalActualRent","RentalIncomeAmount","Total actual rent currently being collected from tenants of the income property.","Yes","Property"
"Township","Municipality","A subdivision of the county.","Yes","Property"
"TransactionBrokerCompensation","","The total commission to be paid to the transaction facilitator, expressed as either a percentage or a constant currency amount.","No","Property"
"TransactionBrokerCompensationType","","A list of types to clarify the value entered in the TransactionBrokerCompensation field.  For example $, % or some other clarification of the TransactionBrokerCompensation.","No","Property"
"TrashExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"UnitNumber","UnitNumber","Text field containing the number or portion of a larger building or complex. Unit Number should appear following the street suffix or, if it exists, the street suffix direction, in the street address. Examples are: ""APT G"", ""55"", etc.","Yes","Property"
"UnitTypeType",,"This field is a list of the types used in the Unit Type repeating elements. The Type is a list of possible Unit Types. i.e. 1, 2, 3 or 2 Bed, Studio, Special Loft, etc. Each selected are expected to appear as the ""[type]"" in the related UnitType fields in a flattened implementation (RETS 1.x only) of the room fields. A relational implementation of UnitTypes must omit the type from the field name and use UnitTypeType to create a vertical representation of the various unit types. The fact that the field repeats the word ""type"" is intentional.","No","Property"
"UnitsFurnished","","Are the units furnished?  i.e. All Units, Varies By Unit, None.","No","Property"
"UnparsedAddress","StreetDirPrefix, StreetDirSuffix, StreetName, StreetNumber, StreetSuffix, UnitNumber","The UnparsedAddress is a text representation of the address with the full civic location as a single entity. It may optionally include any of City, StateOrProvince, PostalCode and Country.","Yes","Property"
"Utilities","Services, Utilities","A list of the utilities for the property being sold/leased.","Yes","Property"
"VacancyAllowance","VacancyAllowance","An estimate of the amount of rent that may be foregone because of unoccupied units.","Yes","Property"
"VacancyAllowanceRate","","An estimate of the percent of rent that may be foregone because of unoccupied units.","No","Property"
"Vegetation","","A list of the type(s) of vegetation on the property.  Note that this is not for farm crops, but more residential type vegetation.","No","Property"
"VideosChangeTimestamp","","System generated timestamp of when the last update or change to the videos for this listing was made.","No","Property"
"VideosCount","","The total number of videos or virtual tours included with the listing.","No","Property"
"View","FeaturesAreaInfluences","A view as seen from the listed property.","Yes","Property"
"ViewYN","FeaturesAreaInfluences","The property has a view.","Yes","Property"
"VirtualTourURLBranded","VirtualTourPref, VirtualTourURL, VirtualTourURLBranded","A text field that holds the URL for a branded virtual tour of the property.","Yes","Property"
"VirtualTourURLUnbranded","VirtualTourPref, VirtualTourURL","A text field that holds the URL for an unbranded virtual tour of the property.","Yes","Property"
"VirtualTourURLZillow",,"Zillow 3D virtual tour URL","No","Property"
"WalkScore","","A walkability index based on the time to walk from a property to near by essentials such as grocery stores, schools, churches, etc.  See www.walkscore.com for more information and requirements for using WalkScore.","No","Property"
"WaterBodyName","","The name, if known, of the body of water on which the property is located. (E.g., lake name, river name, ocean name, sea name, canal name).","No","Property"
"WaterSewerExpense","WaterExpense","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","Yes","Property"
"WaterSource","FeaturesInterior, Services, Water, WaterMeterYN, WaterSupplyType","A list of the source(s) of water for the property","Yes","Property"
"WaterfrontFeatures","FeaturesAreaInfluences, Waterfront","Features of the waterfront on which the property is located.","Yes","Property"
"WaterfrontYN","FeaturesAreaInfluences, Waterfront","The property is on the waterfront.","Yes","Property"
"WindowFeatures","FeaturesInterior","A list of features or description of the windows included in the sale/lease.","Yes","Property"
"WithdrawnDate","WithdrawnDate","Date the listing was withdrawn from the market.  This is not when a listing contact was cancelled or closed, but a withdrawal from the market while the contract between the seller and listing agent is still in effect and an offer has not been accepted. This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.","No","Property"
"WoodedArea","","Measurement or percentage of the property that is wooded or forest.","No","Property"
"WorkmansCompensationExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"YearBuilt","YearBuilt","The year that an occupancy permit is first granted for the house or other local measure of initial habitability of the build. The type definition permits an empty value with an attribute noting that it is an unknown date or that the building is new construction. While constraints have not been applied, convention at the time of adoption has this as a four (4) digit year value.","Yes","Property"
"YearBuiltDetails","","A description of the details behind the year the structure was built.","No","Property"
"YearBuiltEffective","","The year a major rebuild/renovated of the structure occurred.","No","Property"
"YearBuiltSource","","Add a list of sources of the year built.  i.e. Appraiser, Assessor, Builder, Estimated, etc.,","No","Property"
